engineer,merged_prs,weighted_pr_output,avg_cycle_time_hours,median_cycle_time_hours,complex_pr_count,bug_fix_prs,hotfix_prs,refactor_prs,infra_prs,core_area_touch_count,reviews_given,distinct_prs_reviewed,unblocks,review_response_time_hours,distinct_engineers_helped,weighted_pr_output_norm,merged_prs_norm,avg_cycle_time_hours_inv_norm,unblocks_norm,reviews_given_norm,distinct_engineers_helped_norm,bug_fix_prs_norm,hotfix_prs_norm,core_area_touch_count_norm,refactor_prs_norm,product_score,team_score,technical_score,impact_score,impact_rank,summary
Gilbert09,9.0,9.761366569380746,9.299135802469136,12.238611111111112,0.0,6.0,0.0,0.0,0.0,6.0,18.0,18.0,11.0,12.45122222222222,8.0,0.6333720723748331,0.6766917293233091,0.8086177254641751,0.4373757455268391,0.491803278688525,0.8888888888888888,0.7361963190184057,0.0,0.5454545454545454,0.0,0.6814171000772443,0.5665822913158574,0.40356943669827133,0.5636123584351364,17,"Shipped 9 merged PRs (avg cycle time 9h). Reviewed 18 PRs, across 8 contributors, unblocking 11 merges. Technical: 6 bug fixes, 6 core-area touches. Strongest signal: shipping code."
mendral-app,13.0,14.84048682669208,3.585747863247863,0.7972222222222223,0.0,9.0,0.0,0.0,7.0,7.0,4.0,4.0,2.0,2.0587500000000003,0.0,0.9629338094891026,0.9774436090225577,0.9262029723452221,0.07952286282306166,0.1092896174863389,0.0,1.0,0.0,0.6363636363636364,0.0,0.9599405819203629,0.06857217351627942,0.5272727272727273,0.5627297030048473,18,"Shipped 13 merged PRs (avg cycle time 4h). Reviewed 4 PRs, unblocking 2 merges. Technical: 9 bug fixes, 7 core-area touches. Strongest signal: shipping code."
tomasfarias,8.0,8.595270712966823,18.51402777777778,2.3490277777777777,0.0,6.0,0.0,0.0,0.0,3.0,32.0,9.0,27.0,18.702074652777778,1.0,0.5577092495605223,0.601503759398497,0.6189692437882518,1.0,0.8743169398907112,0.1111111111111111,0.7361963190184057,0.0,0.2727272727272727,0.0,0.5830996013574605,0.7400728597449912,0.3490239821528168,0.5599688931123266,19,"Shipped 8 merged PRs (avg cycle time 19h). Reviewed 32 PRs, across 1 contributor, unblocking 27 merges. Technical: 6 bug fixes, 3 core-area touches. Strongest signal: reviewing & unblocking others."
rafaeelaudibert,5.0,6.1779339646991085,36.52583333333333,15.806111111111111,0.0,2.0,0.0,2.0,0.0,3.0,40.0,31.0,26.0,8.304425287356322,9.0,0.40085891769399834,0.37593984962406063,0.24827454817966266,1.0,1.0,1.0,0.24539877300613522,0.0,0.2727272727272727,1.0,0.3628663233701499,1.0,0.3027049637479086,0.5359580184724325,20,"Shipped 5 merged PRs (avg cycle time 37h). Reviewed 40 PRs, across 9 contributors, unblocking 26 merges. Technical: 2 bug fixes, 3 core-area touches. Strongest signal: reviewing & unblocking others."
dmarchuk,8.0,9.463286477256935,29.42378472222222,19.491527777777776,1.0,4.0,0.0,0.0,0.0,5.0,18.0,17.0,13.0,13.408003472222223,8.0,0.6140309684074491,0.601503759398497,0.39443933659984476,0.5168986083499008,0.491803278688525,0.8888888888888888,0.49079754601227044,0.0,0.45454545454545453,0.0,0.5663544793432426,0.6023675795862351,0.2872281093139991,0.4934204984073673,21,"Shipped 8 merged PRs (avg cycle time 29h). including 1 complex cross-directory change. Reviewed 18 PRs, across 8 contributors, unblocking 13 merges. Technical: 4 bug fixes, 5 core-area touches. Strongest signal: reviewing & unblocking others."
fercgomes,9.0,10.266611074711616,16.78672839506173,9.586666666666666,0.0,1.0,0.0,1.0,0.0,8.0,12.0,9.0,11.0,2.0420202020202023,4.0,0.6661551624394153,0.6766917293233091,0.6545181906678907,0.4373757455268391,0.3278688524590167,0.4444444444444444,0.12269938650306761,0.0,0.7272727272727273,1.0,0.6669887381502786,0.40629085233589374,0.3445343000557725,0.4920430409776113,22,"Shipped 9 merged PRs (avg cycle time 17h). Reviewed 12 PRs, across 4 contributors, unblocking 11 merges. Technical: 1 bug fix, 8 core-area touches. Strongest signal: shipping code."
vdekrijger,9.0,9.708426152043996,22.21354938271605,5.634166666666666,0.0,6.0,0.0,0.0,0.0,9.0,11.0,10.0,6.0,22.026161616161616,4.0,0.6299370019261784,0.6766917293233091,0.5428306783895709,0.23856858846918497,0.30054644808743197,0.4444444444444444,0.7361963190184057,0.0,0.8181818181818182,0.0,0.6265421554379961,0.30863091034847395,0.45811489124372595,0.48064060265285846,23,"Shipped 9 merged PRs (avg cycle time 22h). Reviewed 11 PRs, across 4 contributors, unblocking 6 merges. Technical: 6 bug fixes, 9 core-area touches. Strongest signal: shipping code."
sakce,10.0,12.106998630055394,20.7385,9.160555555555556,1.0,1.0,0.0,1.0,0.0,6.0,12.0,9.0,9.0,7.371138888888889,2.0,0.7855698029629388,0.7518796992481213,0.5731881558921477,0.35785288270377746,0.3278688524590167,0.2222222222222222,0.12269938650306761,0.0,0.5454545454545454,1.0,0.7329864424343352,0.31495000850996047,0.3081706636921361,0.48013077863436304,24,"Shipped 10 merged PRs (avg cycle time 21h). including 1 complex cross-directory change. Reviewed 12 PRs, across 2 contributors, unblocking 9 merges. Technical: 1 bug fix, 6 core-area touches. Strongest signal: shipping code."
tatoalo,8.0,9.2388180753271,15.943124999999998,9.563472222222222,0.0,3.0,0.0,0.0,0.0,1.0,19.0,17.0,15.0,14.576944444444445,6.0,0.599466202715837,0.601503759398497,0.6718800982668947,0.5964214711729624,0.5191256830601098,0.6666666666666666,0.3680981595092028,0.0,0.09090909090909091,0.0,0.6145602488308465,0.5907940336125327,0.16542108198549932,0.4726886342117482,25,"Shipped 8 merged PRs (avg cycle time 16h). Reviewed 19 PRs, across 6 contributors, unblocking 15 merges. Technical: 3 bug fixes, 1 core-area touch. Strongest signal: shipping code."
webjunkie,8.0,9.569178231778743,5.674652777777778,2.2779166666666666,0.0,5.0,0.0,0.0,4.0,2.0,8.0,8.0,8.0,4.388819444444445,7.0,0.6209018178456072,0.601503759398497,0.8832119479829746,0.31809145129224664,0.2185792349726778,0.7777777777777778,0.6134969325153381,0.0,0.18181818181818182,0.0,0.6675444263389476,0.40315936801775876,0.2817624093697716,0.4724943037518382,26,"Shipped 8 merged PRs (avg cycle time 6h). Reviewed 8 PRs, across 7 contributors, unblocking 8 merges. Technical: 5 bug fixes, 2 core-area touches. Strongest signal: shipping code."
